codigo_material,preco_real,qtde_min,descricao,modelos,origem,t,ipi,ncm_classif_fiscal,codigo_barras,ferramentas_basicas_para_oficina
5910-893-5301,118.36,1,Apoio do êmbolo,MS382,1,10,5.2,82055900,886661361755,
5910-893-5608,86.96,1,Inserto DIN3124-13,BT130 BR430 HT70K FS300 FS350 FS380 FS460 FSBG SH56 MS382 KA120 HT133,1,10,5.0,73269090,795711583378,
5910-893-5612,66.11,1,Inserto 19 MM,MS460,1,10,5.2,82042000,795711638900,
5910-893-5613,197.42,1,Soquete 19mm,MS034 MS038,1,10,5.2,82042000,795711638917,
5910-893-6600,1.33,10,Arruela de regulagem,MS08 MS051 MS210 MS250 MS360 MS362 MS380 MS390 MS460 MS660 FS75 FS85 FS85R FS160 FS220 FS280 FR220 SR420 HS80 P835 P840 TS350 TS760 HT75 SP81 BR430 BRBG SH56 SHBG SH56,1,10,9.75,39269090,795711582982,
5910-893-7005,90.14,1,Anel,FS460,1,10,9.75,39269090,795711874353,
5910-893-8500,174.24,1,Fuso AS,MS08 MS025 MS034 MS036 MS038 MS039 MS051 MS066 MS076,1,10,5.2,82055900,795711583071,
5910-893-8505,119.0,1,Fuso ZS,MS08 MS025 MS034 MS036 MS038 MS039 MS051 MS066 MS076 KA120,1,10,5.2,82055900,795711583095,
5910-893-8701,188.18,1,Peça de pressão,MSE170,1,10,5.2,84679900,886661037018,
5910-893-8800,49.45,1,Gancho de montagem,HS45 BR430 HT70K TS800 MS362 MS382 FS300 FS350 FS380 FS460 HS82R HSBG SH56 MSA160T HTA85 KA120 BG50,1,10,5.2,82055900,795711583101,
5910-894-2102,465.15,1,Placa tensora,HS82R,1,10,5.0,73269090,795711582395,
5910-894-2104,180.42,1,Placa tensora,FS460,1,10,5.0,73269090,795711979300,
5910-895-0300,2188.99,1,Dinamômetro de mola 50 N,RMA370,1,0,0.0,90318011,886661000524,
5910-895-0400,941.67,1,Extrator interno 6-10 mm,SPA65,1,10,5.2,82055900,886661013852,
6012-890-3400,34.51,1,Chave combinada,RMA370,1,10,5.2,82041100,795711723774,
6235-710-4305,57.52,1,Carretel com rosca,Cj.corte nylon- FSE41,1,10,5.2,84679900,795711112127,
6909-007-1085,468.03,1,Kit para cortador de grama RMA 370,RMA370,1,10,5.2,84679900,795711941383,
7030-871-0000,29.0,6,Detergente Multiúso 1L,Lavadoras,0,10,0.0,34025000,886661776948,
7030-871-0001,29.0,6,Detergente Automotivo 1 L,Lavadoras,0,10,0.0,34025000,886661776986,
7030-890-1600,896.5,1,Jogo de ferramentas,Jogo de ferramentas completo,3,10,5.2,82060000,886661672400,
9045-319-9010,3.33,1,"Parafuso allen 1/4""-20x3/4""",NG5,1,10,6.5,73181500,795711315504,
9045-319-9015,5.55,1,"Parafuso allen 3/8""x1 1/4""",NG5,1,10,6.5,73181500,795711315689,
9132-381-9510,2.78,5,"Pino roscado -10-32x5/16""",NG-4,1,10,6.5,73181500,795711071622,
EA02-400-6500,189.0,1,AS 2 Bateria,,1,0,11.25,85076000,886661915415,
EA03-430-2508,189.0,1,"AL 1, 220 - 240 V Carregador",,1,10,5.0,85044010,886661870417,
EA03-430-2509,189.0,1,"AL 1, 100 - 127 V Carregador",,1,10,5.0,85044010,886661933914,
HA01-820-5000,273.96,1,"Extensão 0,5 m",HLA56,1,10,5.2,84679900,886661858514,
